,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
94,Twitter for iPhone,Great Job  Rachel Campos-Duffy on @foxandfriends.,Sat Aug 18 13:34:49 +0000 2018,8551,48232,FALSE,1.03081E+18
95,Twitter for iPhone,"Has anyone looked at the mistakes that John Brennan made while serving as CIA Director? He will go down as easily the WORST in history &; since getting out, he has become nothing less than a loudmouth, partisan, political hack who cannot be trusted with the secrets to our country!",Sat Aug 18 13:12:43 +0000 2018,29551,115845,FALSE,1.0308E+18
96,Twitter for iPhone,https://t.co/5kIR5EggBp,Sat Aug 18 13:06:30 +0000 2018,16564,66041,FALSE,1.0308E+18
97,Twitter for iPhone,"All of the fools that are so focused on looking only at Russia should start also looking in another direction, China. But in the end, if we are smart, tough and well prepared, we will get along with everyone!",Sat Aug 18 11:46:14 +0000 2018,20723,87305,FALSE,1.03078E+18
98,Twitter for iPhone,"....Too many voices are being destroyed, some good &; some bad, and that cannot be allowed to happen. Who is making the choices, because I can already tell you that too many mistakes are being made. Let everybody participate, good &; bad, and we will all just have to figure it out!",Sat Aug 18 11:40:11 +0000 2018,27903,106815,FALSE,1.03078E+18
99,Twitter for iPhone,".....Censorship is a very dangerous thing &; absolutely impossible to police. If you are weeding out Fake News, there is nothing so Fake as CNN &; MSNBC, &; yet I do not ask that their sick behavior be removed. I get used to it and watch with a grain of salt, or don’t watch at all..",Sat Aug 18 11:32:17 +0000 2018,33759,125384,FALSE,1.03078E+18
100,Twitter for iPhone,"Social Media is totally discriminating against Republican/Conservative voices. Speaking loudly and clearly for the Trump Administration, we won’t let that happen. They are closing down the opinions of many people on the RIGHT, while at the same time doing nothing to others.......",Sat Aug 18 11:23:00 +0000 2018,36489,113722,FALSE,1.03078E+18
101,Twitter for iPhone,"....financial gain is a Federal Gratuity Statute Violation, Bribery Statute Violation, Honest Services Violation....all Major Crimes....because the DOJ is run by BLANK Jeff Sessions......”  Gregg Jarrett.  So when does Mueller do what must be done? Probably never! @FoxNews",Sat Aug 18 01:47:44 +0000 2018,17849,70298,FALSE,1.03063E+18
102,Twitter for iPhone,"“Bruce Ohr of DOJ is in legal jeopardy, it’s astonishing that he’s still employed. Bruce &; Nelly Ohr’s bank account is getting fatter &; fatter because of the Dossier that they are both peddling. He doesn’t disclose it under Fed Regs. Using your Federal office for personal.......",Sat Aug 18 01:46:26 +0000 2018,21574,77797,FALSE,1.03063E+18
103,Twitter for iPhone,"“Bruce Ohr of DOJ is in legal jeopardy, it’s astonishingthat he’s still employed. Bruce &; Nelly Ohr’s bank account is getting fatter &; fatter because of the Dossier that they are both peddling. He doesn’t disclose it under Fed Regs. Using your Federal office for personal.......",Sat Aug 18 01:37:58 +0000 2018,2091,6214,FALSE,1.03063E+18
104,Twitter for iPhone,“Fox News has learned that Bruce Ohr wrote Christopher Steele following the firing of James Comey saying that he was afraid the anti-Trump Russia probe will be exposed.”  Charles Payne  @FoxBusiness   How much more does Mueller have to see? They have blinders on - RIGGED!,Fri Aug 17 22:29:15 +0000 2018,28037,93818,FALSE,1.03058E+18
105,Twitter for iPhone,https://t.co/TmICRUV9uo,Fri Aug 17 21:25:20 +0000 2018,21993,81342,FALSE,1.03057E+18
106,Twitter for iPhone,"...I say Andrew’s was a bigger and more incompetent blunder. He should easily win his race against a Super Liberal Actress, but his political career is over!",Fri Aug 17 19:25:53 +0000 2018,12366,56720,FALSE,1.03054E+18
